City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Roald,NO,62.5833,6.1333,50.92,57,0,19.57,clear sky
81,Ugoofaaru,MV,5.6667,73.0,84.56,71,100,10.36,overcast clouds
82,Yellowknife,CA,62.456,-114.3525,10.29,77,20,6.91,few clouds
83,Inhambane,MZ,-23.865,35.3833,82.38,94,40,11.5,scattered clouds
84,Solnechnyy,RU,50.7214,136.6319,20.84,87,56,5.37,broken clouds
85,Mahibadhoo,MV,3.7833,72.9667,85.32,71,100,9.48,overcast clouds
86,Lat Yao,TH,15.751,99.7893,87.71,43,51,5.91,light rain
87,Marsh Harbour,BS,26.5412,-77.0636,76.78,75,32,14.43,scattered clouds
88,Cherskiy,RU,68.75,161.3,14.27,96,100,3.94,overcast clouds
89,Pyapon,MM,16.2833,95.6833,83.41,66,12,10.69,few clouds
90,Lethem,GY,3.3803,-59.7968,86.05,66,40,13.8,scattered clouds
91,Mar Del Plata,AR,-38.0023,-57.5575,60.82,71,20,9.22,light rain
92,Nouadhibou,MR,20.931,-17.0347,69.78,64,0,21.85,clear sky
93,Pedernales,DO,18.0384,-71.744,87.55,47,24,13.04,few clouds
94,East Brainerd,US,34.9959,-85.1502,60.48,75,79,5.01,broken clouds
95,Flin Flon,CA,54.7682,-101.865,10.24,52,100,13.8,overcast clouds
96,Margate,GB,51.3813,1.3862,58.69,75,100,8.3,overcast clouds
97,Torbay,CA,47.6666,-52.7314,40.28,72,75,25.32,broken clouds
98,Burnie,AU,-41.0667,145.9167,60.93,90,74,2.8,broken clouds
99,Malakal,SS,9.5334,31.6605,94.53,31,74,3.47,light rain
100,Listvyanskiy,RU,54.4399,83.4984,31.66,86,41,6.06,scattered clouds
101,Beringovskiy,RU,63.05,179.3167,30.02,98,100,14.09,light snow
102,Kiama,AU,-34.6833,150.8667,65.57,86,36,1.99,scattered clouds
103,Labuan,MY,5.2767,115.2417,79.16,94,20,0.0,few clouds
104,Gamba,GA,-2.65,10.0,81.41,76,99,6.67,light rain
105,Kavieng,PG,-2.5744,150.7967,82.65,76,27,13.44,scattered clouds
106,Saskylakh,RU,71.9167,114.0833,-19.55,100,85,5.93,overcast clouds
107,Marawi,PH,7.9986,124.2928,68.65,94,99,2.64,overcast clouds
108,Uhlove,UA,44.8215,33.6045,47.01,89,98,6.33,overcast clouds
109,Chapais,CA,49.7834,-74.8492,40.78,92,100,14.29,overcast clouds
110,Cayenne,GF,4.9333,-52.3333,82.44,1,100,21.85,overcast clouds
111,Mehamn,NO,71.0357,27.8492,34.39,90,91,21.83,overcast clouds
112,Yulara,AU,-25.2406,130.9889,82.24,24,47,8.05,scattered clouds
113,Batticaloa,LK,7.7102,81.6924,82.29,81,97,7.29,overcast clouds
114,Vilyuysk,RU,63.7553,121.6247,21.34,96,100,5.37,overcast clouds
115,Lompoc,US,34.6391,-120.4579,59.56,70,20,11.99,few clouds
116,Doha,QA,25.2867,51.5333,84.18,58,61,16.11,broken clouds
117,Milkovo,RU,54.7167,158.6167,22.8,83,93,5.59,overcast clouds
118,Banda Aceh,ID,5.5577,95.3222,82.45,74,65,2.55,heavy intensity rain
119,Kilindoni,TZ,-7.9139,39.6668,81.34,80,100,7.63,light rain
120,Sitka,US,57.0531,-135.33,36.07,45,0,3.18,clear sky
121,Grindavik,IS,63.8424,-22.4338,49.95,93,100,33.38,moderate rain
122,Bubaque,GW,11.2833,-15.8333,75.56,72,39,15.5,scattered clouds
123,Zhezkazgan,KZ,47.8043,67.7144,57.18,38,0,8.95,clear sky
124,Ancud,CL,-41.8697,-73.8203,56.66,71,5,4.59,clear sky
125,Bethel,US,41.3712,-73.414,80.35,61,100,9.35,overcast clouds
126,Chokurdakh,RU,70.6333,147.9167,-10.59,100,90,6.78,overcast clouds
127,Raudeberg,NO,61.9875,5.1352,52.47,69,1,12.03,clear sky
128,Tasiilaq,GL,65.6145,-37.6368,33.06,99,100,2.48,snow
129,Lavagna,IT,44.3079,9.3422,73.65,37,22,4.54,few clouds
130,Saint George,US,37.1041,-113.5841,53.44,18,0,0.0,clear sky
131,Vinh,VN,18.6667,105.6667,74.93,94,4,1.14,clear sky
132,Bolpur,IN,23.6667,87.7167,88.21,61,67,14.18,broken clouds
133,San Patricio,US,28.017,-97.5169,78.17,49,15,20.87,few clouds
134,Kuusamo,FI,65.9667,29.1833,37.44,65,20,4.61,few clouds
135,Barrow,US,71.2906,-156.7887,-8.79,97,18,12.93,few clouds
136,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,83.25,60,100,4.27,overcast clouds
137,Ponta Do Sol,PT,32.6667,-17.1,72.72,71,0,2.82,clear sky
138,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,68,86,9.24,overcast clouds
139,Isangel,VU,-19.55,169.2667,79.02,82,68,6.38,broken clouds
140,Neka,IR,36.6508,53.299,56.71,72,75,2.3,broken clouds
141,Miyoshi,JP,35.0833,137.0667,63.63,84,100,4.05,light rain
142,Dondo,MZ,-19.6094,34.7431,81.91,87,96,7.2,overcast clouds
143,Nykoping,SE,58.753,17.0079,43.09,93,75,5.75,light rain
144,Avarua,CK,-21.2078,-159.775,75.25,94,20,2.3,few clouds
145,Poum,NC,-20.2333,164.0167,75.27,87,74,5.88,broken clouds
146,Kahului,US,20.8947,-156.47,73.85,88,55,10.0,broken clouds
147,Chaozhou,CN,23.6651,116.6379,73.26,70,90,5.17,overcast clouds
148,Qobustan,AZ,40.0824,49.412,53.04,69,49,6.55,scattered clouds
149,Clyde River,CA,70.4692,-68.5914,-0.17,71,100,3.44,overcast clouds
150,Port Blair,IN,11.6667,92.75,82.44,78,20,2.3,mist
151,Ongandjera,NA,-17.8833,15.0667,83.89,36,8,4.41,clear sky
152,Nenjiang,CN,49.1833,125.2167,37.56,41,100,8.01,overcast clouds
153,Belmonte,BR,-15.8631,-38.8828,86.97,61,28,11.95,scattered clouds
154,Honiara,SB,-9.4333,159.95,76.66,88,13,4.7,few clouds
155,Touros,BR,-5.1989,-35.4608,86.88,62,93,8.81,overcast clouds
156,Arinos,BR,-15.9169,-46.1056,94.17,35,28,3.69,scattered clouds
