City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Saint-Leu,RE,77.86,overcast clouds,-21.15,55.2833,La Caz Oceane
210,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
211,Bengkulu,ID,77.43,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
212,Karratha,AU,86.97,broken clouds,-20.7377,116.8463,ibis Styles Karratha
213,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
214,Bac Lieu,VN,82.56,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
217,Labuhan,ID,80.17,broken clouds,-6.8844,112.2051,DoubleFAG
218,Tautira,PF,80.71,light rain,-17.7333,-149.15,Pension Oaoa
219,Acapulco,MX,83.35,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
221,Kaeng Khoi,TH,90.1,light rain,14.5862,100.9976,ปานปั้นเพลส / PaanPuanPlace
222,Dera Bugti,PK,86.29,clear sky,29.0307,69.151,Nawab Bugti House
223,Banjar,ID,77.63,scattered clouds,-8.19,114.9675,The Hamsa Resort
234,Ondjiva,AO,78.12,broken clouds,-17.0667,15.7333,COMBUESA
235,Carutapera,BR,84.52,overcast clouds,-1.195,-46.02,Lidera
240,Sur,OM,89.62,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
242,South Farmingdale,US,78.15,clear sky,40.7207,-73.4401,Courtyard by Marriott Republic Airport Long Island/Farmingdale
246,Huautla,MX,84.24,overcast clouds,21.0333,-98.2833,Hotel Huautla
248,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
254,Arraial Do Cabo,BR,77.67,few clouds,-22.9661,-42.0278,Pousada Porto Praia
258,Manoel Urbano,BR,90.82,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
260,Qui Nhon,VN,77.04,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
263,Pemangkat,ID,81.19,heavy intensity rain,1.1667,108.9667,Ramah Kost KITA
271,The Valley,AI,82.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
274,Sao Joao Da Barra,BR,83.66,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
276,Meulaboh,ID,78.6,overcast clouds,4.1363,96.1285,Kost Pria
277,Bushehr,IR,84.09,overcast clouds,28.9684,50.8385,Yas Hotel
281,Mogadishu,SO,83.35,broken clouds,2.0371,45.3438,Hotel Juba
285,Sechura,PE,77.86,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
286,Chisec,GT,88.03,scattered clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
288,Dawei,MM,76.6,clear sky,14.0833,98.2,Hotel Dawei
292,Cabedelo,BR,83.89,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
294,Caravelas,BR,89.55,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
295,Avera,US,75.54,overcast clouds,33.194,-82.5271,Macho lodge
297,Ixtapa,MX,84.67,overcast clouds,20.7,-105.2,hotel la terminal
298,Kupang,ID,78.58,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
299,Marzuq,YE,77.18,clear sky,14.4,46.4667,Macho lodge
300,Betioky,MG,80.35,overcast clouds,-23.7167,44.3833,Bungalows Acacias Hotel
305,Akyab,MM,81.86,few clouds,20.15,92.9,Hotel Memory
308,Salalah,OM,80.67,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
310,Dalbandin,PK,84.74,clear sky,28.8947,64.4101,Sanjrani House
312,Antsohihy,MG,80.44,clear sky,-14.8796,47.9875,Hotel de Ville
315,Venezuela,VE,94.62,broken clouds,8.0,-66.0,Macho lodge
317,La Asuncion,VE,82.13,clear sky,11.0333,-63.8628,Colinas de Matasiete
318,Tete,MZ,87.89,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
319,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
326,Eyl,SO,83.3,few clouds,7.9803,49.8164,Amiin Hotel
329,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
334,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
335,Wattegama,LK,77.29,scattered clouds,6.7989,81.4808,Macho lodge
338,Inirida,CO,84.45,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
341,Alamos,MX,81.63,broken clouds,27.0167,-108.9333,Luz del Sol
342,Mitu,CO,78.21,overcast clouds,1.1983,-70.1733,Macho lodge
345,Cabinda,AO,80.92,overcast clouds,-5.55,12.2,Hotel Maiombe
346,Cururupu,BR,84.31,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
350,Frontera,MX,77.32,broken clouds,26.9333,-101.45,Fiesta Inn Monclova
355,Santa Luzia,BR,86.9,few clouds,-19.7697,-43.8514,Pousada Chao Earth
358,Itatiaia,BR,80.73,scattered clouds,-22.4961,-44.5633,La Ponsa
363,Kodarma,IN,88.72,broken clouds,24.4667,85.6,"Surywanshi House,Jalwabad ( C/o Gurmit Singh )"
366,Morros,BR,91.45,scattered clouds,-9.4467,-46.3003,Macho lodge
368,Lamu,KE,84.42,broken clouds,-2.2717,40.902,Lamu House
374,Xuddur,SO,91.47,overcast clouds,4.1213,43.8894,Banjanay Hotel
377,Maraa,BR,75.81,overcast clouds,-1.8333,-65.3667,Macho lodge
380,Lagunas,PE,87.8,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
384,Madang,PG,78.01,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
389,Bairiki,KI,78.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
390,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
399,Auki,SB,77.22,few clouds,-8.7676,160.7034,Auki Motel
401,Bambanglipuro,ID,77.7,overcast clouds,-7.95,110.2833,Puri Brata
403,Virginia Beach,US,81.01,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
410,Kudligi,IN,90.16,overcast clouds,14.9,76.3833,BARKATH MANSION
411,Salinopolis,BR,83.43,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
412,Vila Velha,BR,83.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
416,Tres Pontas,BR,77.38,scattered clouds,-21.3667,-45.5125,Café Palace Hotel
