City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Avarua,CK,2022-04-08 11:13:34,-21.2078,-159.775,80.65,83,20,8.05
67,Khatanga,RU,2022-04-08 11:13:34,71.9667,102.5,15.93,91,88,7.05
68,Aranda De Duero,ES,2022-04-08 11:13:35,41.6704,-3.6892,54.37,58,91,23.04
69,Broome,US,2022-04-08 11:13:35,42.2506,-75.833,43.47,82,100,6.91
70,Cape Town,ZA,2022-04-08 11:09:46,-33.9258,18.4232,75.27,38,0,7.0
71,Ambilobe,MG,2022-04-08 11:13:35,-13.2,49.05,84.83,74,69,4.29
72,Hermanus,ZA,2022-04-08 11:13:36,-34.4187,19.2345,67.8,59,60,22.55
73,Saskylakh,RU,2022-04-08 11:13:36,71.9167,114.0833,-0.96,99,77,4.0
74,Geraldton,AU,2022-04-08 11:13:38,-28.7667,114.6,72.01,64,40,9.22
75,Porto Walter,BR,2022-04-08 11:13:38,-8.2686,-72.7439,71.98,99,97,1.05
76,New Norfolk,AU,2022-04-08 11:13:39,-42.7826,147.0587,55.71,90,0,1.36
77,Kaeo,NZ,2022-04-08 11:13:39,-35.1,173.7833,59.32,89,36,5.55
78,Vila Velha,BR,2022-04-08 11:13:40,-20.3297,-40.2925,78.94,79,53,3.38
79,Pevek,RU,2022-04-08 11:13:40,69.7008,170.3133,-24.83,98,36,3.71
80,Lorengau,PG,2022-04-08 11:13:40,-2.0226,147.2712,80.82,84,100,12.71
81,Provideniya,RU,2022-04-08 11:13:41,64.3833,-173.3,-1.55,99,100,4.38
82,Timmins,CA,2022-04-08 11:11:02,48.4669,-81.3331,32.56,99,100,1.59
83,Yellowknife,CA,2022-04-08 11:12:23,62.456,-114.3525,35.56,59,100,10.0
84,Mpongwe,ZM,2022-04-08 11:13:41,-13.5091,28.155,73.18,82,81,5.41
85,Port Lincoln,AU,2022-04-08 11:13:42,-34.7333,135.8667,65.97,71,0,8.25
86,Albany,US,2022-04-08 11:09:09,42.6001,-73.9662,43.95,95,100,6.42
87,Bud,US,2022-04-08 11:13:43,39.447,-86.1758,37.98,94,97,9.57
88,Uyuni,BO,2022-04-08 11:14:43,-20.4597,-66.825,45.23,41,97,5.91
89,Tsumeb,NA,2022-04-08 11:14:44,-19.2333,17.7167,86.56,25,2,10.76
90,Aranos,NA,2022-04-08 11:14:44,-24.1333,19.1167,86.74,22,9,18.39
91,Jining,CN,2022-04-08 11:14:44,35.405,116.5814,72.14,56,0,9.82
92,Alghero,IT,2022-04-08 11:14:45,40.5589,8.3181,62.69,82,20,21.85
93,Vestmannaeyjar,IS,2022-04-08 11:14:45,63.4427,-20.2734,31.19,64,0,10.36
94,Arraial Do Cabo,BR,2022-04-08 11:14:46,-22.9661,-42.0278,75.06,83,75,3.44
95,Baykit,RU,2022-04-08 11:14:46,61.67,96.37,28.27,82,100,4.61
96,Caravelas,BR,2022-04-08 11:14:47,-17.7125,-39.2481,75.45,91,73,4.16
97,Bethel,US,2022-04-08 11:14:47,41.3712,-73.414,50.2,93,100,3.0
98,Hamilton,US,2022-04-08 11:13:21,39.1834,-84.5333,40.23,81,100,5.75
99,Fortuna,US,2022-04-08 11:14:47,40.5982,-124.1573,49.66,95,0,8.05
100,Gobabis,NA,2022-04-08 11:14:48,-22.45,18.9667,82.56,27,36,17.54
101,Lebu,CL,2022-04-08 11:14:48,-37.6167,-73.65,54.36,93,43,10.09
102,Tianpeng,CN,2022-04-08 11:14:49,30.9866,103.9393,71.51,50,99,2.15
103,Yarada,IN,2022-04-08 11:14:49,17.65,83.2667,91.72,55,98,9.22
104,Den Helder,NL,2022-04-08 11:14:49,52.9599,4.7593,48.18,75,100,15.01
105,Verkhniy Mamon,RU,2022-04-08 11:14:50,50.1635,40.3832,60.8,37,55,19.19
106,Varkkallai,IN,2022-04-08 11:14:50,8.7341,76.7067,80.38,75,100,5.86
107,Butaritari,KI,2022-04-08 11:14:50,3.0707,172.7902,81.07,80,100,13.18
108,Port Elizabeth,ZA,2022-04-08 11:14:23,-33.918,25.5701,66.09,81,95,5.01
